id,name,x,y,z
5,1층 계단,1687,287,1
6,나노과학기술,1281,161,1
8,창조기업(주),1393,231,1
9,실험실(고민규),889,231,1
10,실험실(최원호),777,231,1
11,실험실(박용근),749,231,1
12,최원호교수 실험실,581,231,1
13,1층 서쪽 화장실,189,63,1
15,1층 서쪽 계단,105,91,1
16,IT아카데미,539,245,2
17,정보통신팀 전산실 서버,777,259,2
18,CERT,973,259,2
19,ICC한동수교수,1267,259,2
20,CT대학원 문화기술연구센터,1295,259,2
21,2층 동쪽 엘리베이터,1491,161,2
22,2층 동쪽 화장실,1729,189,2
23,2층 동쪽 계단,1673,301,2
24,ICC김순태(1),1673,385,2
25,ICC김순태(2),1673,427,2
26,ICC김순태(3),1673,525,2
27,고문자학제(1),1673,581,2
28,2층 서쪽 화장실,220,125,2
29,고문자학제(2),1673,679,2
30,CT대학원 구본철,1673,721,2
31,CT대학원 김이경,1673,819,2
32,ICC 신광철,1673,875,2
33,ICC 김광조,1673,973,2
34,고인규,1673,1015,2
35,KI청정에너지연구소 노희천(1),1603,1085,2
36,KI청정에너지연구소 노희천(2),1589,1295,2
37,KI청정에너지연구소 노희천(3),1589,973,2
38,KI나노융합연구소 홍순형,1589,861,2
